,year_month,launched,share_with_ukraine,a3_share_with_ukraine,la6_share_with_ukraine,t5_share_with_ukraine,fatalities,a3_war_share_out_of_total,la6_war_share_out_of_total,t5_war_share_out_of_total,combined_war_share_out_of_total,a3_share_class_1,la6_share_class_1,t5_share_class_1,total_share_class_1
0,2022-12-01,364.0,0.0688723835246455,0.09142212189616253,0.059907834101382486,0.05813953488372093,2174,0.02069088319088319,0.013053709856035437,0.011541774332472008,0.014036522213137094,0.1789344009855251,0.20830572122818644,0.19684171869261843,0.19624654663237115
1,2023-01-01,213.0,0.10206022187004754,0.1472569778633301,0.07987220447284345,0.0798611111111111,1187,0.021962616822429906,0.025505857294994674,0.02368827160493827,0.024198415692191624,0.2546965317919075,0.3177973129872284,0.2939205361416946,0.29664739884393065
2,2023-02-01,193.0,0.1411843425894948,0.19572192513368983,0.10092514718250631,0.1375722543352601,665,0.03579234972677595,0.02175497617045136,0.027630057803468208,0.025175085680226493,0.21083690987124465,0.21543586896168795,0.19977709668431318,0.20798965899298288
3,2023-03-01,181.0,0.09088089330024814,0.11197663096397274,0.07639939485627836,0.088,866,0.027419354838709678,0.01947806354009077,0.024133333333333333,0.02141681627767804,0.281767955801105,0.2540282801709964,0.27183007938210685,0.2620834859025998
4,2023-04-01,117.0,0.07222409719878502,0.09109730848861283,0.06132879045996593,0.06561360874848117,1135,0.02188888888888889,0.014656536878759101,0.018934791413527743,0.017271752450980393,0.21864594894561598,0.2517672648178358,0.2861077111383109,0.2577732053040695
5,2023-05-01,667.0,0.06719367588932806,0.10414201183431952,0.04178272980501393,0.0627177700348432,1434,0.022248520710059172,0.00865057257814918,0.01581494386372435,0.014995807881183374,0.2129105322763307,0.20596904937361826,0.24977071232039133,0.22192679251971995
6,2023-06-01,447.0,0.06471183013144591,0.09219088937093275,0.046228710462287104,0.06157635467980296,1243,0.019603441825664047,0.008975398756420654,0.010919540229885057,0.012738419618528611,0.21231766612641814,0.1958702064896755,0.17575156921043938,0.19765700695851318
7,2023-07-01,433.0,0.06624029237094564,0.0676779463243874,0.06923076923076923,0.059782608695652176,939,0.013861985472154963,0.013364993215739484,0.013254830917874397,0.013530338849487785,0.21522556390977443,0.18881789137380192,0.2195,0.20632059601057437
8,2023-08-01,324.0,0.041083655849955346,0.05076628352490421,0.03446115288220551,0.04172461752433936,784,0.010880999342537804,0.0079004329004329,0.01161335187760779,0.009639474488237092,0.21676489849377864,0.2336,0.27572922399559713,0.23674337168584292
9,2023-09-01,621.0,0.046610169491525424,0.06002265005662514,0.041176470588235294,0.039525691699604744,803,0.009646052119797743,0.006246498599439776,0.01051822573561704,0.00844024708956997,0.16140579238529124,0.1511864406779661,0.263621353880022,0.18125
10,2023-10-01,347.0,0.02554366586123576,0.030660377358490566,0.0193929173693086,0.028968713789107765,746,0.005842558425584256,0.0030157342657342657,0.006431054461181924,0.004875886524822695,0.18886679920477137,0.15984555984555984,0.2198019801980198,0.19101643899050705
11,2023-11-01,432.0,0.019532500800512328,0.01940755873340143,0.023668639053254437,0.012626262626262626,792,0.0021620701395982296,0.0026380670611439844,0.0022937710437710437,0.0024015369836695487,0.11062717770034843,0.11076604554865424,0.17957166392092258,0.12205044751830757
12,2023-12-01,840.0,0.03443877551020408,0.046747967479674794,0.030598052851182198,0.025210084033613446,615,0.007943766937669376,0.005806675938803895,0.005648926237161531,0.006441326530612245,0.16925297726452543,0.18891402714932126,0.2208029197080292,0.1859180855959503
13,2024-01-01,677.0,0.024120205614867538,0.036585365853658534,0.020185029436501262,0.013461538461538462,677,0.007947154471544716,0.004051023268853378,0.0027884615384615383,0.0050546988269408195,0.21578366445916114,0.19903581267217632,0.20470588235294118,0.2079154242342098
14,2024-02-01,523.0,0.05886116442738324,0.07281553398058252,0.034588777863182166,0.08050314465408805,923,0.009886731391585761,0.00595695618754804,0.014150943396226415,0.009335679249306889,0.13535666814355338,0.1716500553709856,0.17446368570690102,0.15786152181752613
15,2024-03-01,849.0,0.07038733860891296,0.093841642228739,0.054995417048579284,0.07165605095541401,584,0.01395405669599218,0.009058967308279866,0.011438428874734606,0.011071775649035125,0.14819621074487413,0.16422043755192467,0.1583394562821455,0.15658747300215983
16,2024-04-01,505.0,0.025162689804772233,0.02727272727272727,0.028004667444574097,0.019174041297935103,731,0.005259740259740259,0.00896538311940879,0.004916420845624385,0.0065365148228488795,0.19133858267716536,0.31837016574585636,0.2534854245880862,0.25777017393783863
